Ticker,Description,Exchange,Market Capitalization,Sector
A,"Agilent Technologies, Inc.",NYSE,44002298868.253876,Health Technology
AA,Alcoa Corporation,NYSE,5990130200.681358,Non-Energy Minerals
AAC,Ares Acquisition Corporation,NYSE,1220000029.0000002,Finance
AACQ,Artius Acquisition Inc.,NASDAQ,892946178.8657315,Finance
AAL,"American Airlines Group, Inc.",NASDAQ,14296429398.267204,Transportation
AAME,Atlantic American Corporation,NASDAQ,83296390.45925926,Finance
AAN,"Aarons Holdings Company, Inc.",NYSE,1184331993.9511774,Retail Trade
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,221343595.98143855,Electronic Technology
AAON,"AAON, Inc.",NASDAQ,3193301736.0959015,Producer Manufacturing
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,NYSE,12651297333.529863,Retail Trade
AAPL,Apple Inc.,NASDAQ,2177068211005.7085,Electronic Technology
AAWW,Atlas Air Worldwide Holdings,NASDAQ,1943300398.2416434,Transportation
AB,AllianceBernstein Holding L.P.,NYSE,4351517185.6743555,Finance
ABBV,AbbVie Inc.,NYSE,199795081910.7008,Health Technology
ABC,AmerisourceBergen Corporation,NYSE,23503094798.23927,Distribution Services
ABCB,Ameris Bancorp,NASDAQ,3488663435.997354,Finance
ABCL,AbCellera Biologics Inc.,NASDAQ,6282770843.25559,Health Technology
ABG,Asbury Automotive Group Inc,NYSE,3060831930.491966,Retail Trade
ABIO,"ARCA biopharma, Inc.",NASDAQ,52020616.841530055,Health Technology
ABM,ABM Industries Incorporated,NYSE,3006139597.3057013,Commercial Services
ABMD,"ABIOMED, Inc.",NASDAQ,14429940424.214645,Health Technology
ABNB,"Airbnb, Inc.",NASDAQ,94184538036.61392,Consumer Services
ABST,Absolute Software Corporation,NASDAQ,709807133.8457142,Technology Services
ABT,Abbott Laboratories,NYSE,196036553318.9629,Health Technology
ABTX,"Allegiance Bancshares, Inc.",NASDAQ,776844267.390882,Finance
ABUS,Arbutus Biopharma Corporation,NASDAQ,313260182.51533747,Health Technology
ACA,"Arcosa, Inc.",NYSE,2701126434.471652,Producer Manufacturing
ACAC,Acies Acquisition Corp.,NASDAQ,221169371.71200004,Finance
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,4169460248.0719533,Health Technology
ACB,Aurora Cannabis Inc.,NASDAQ,1729015702.154879,Process Industries
ACBI,"Atlantic Capital Bancshares, Inc.",NASDAQ,514425039.07379514,Finance
ACCD,"Accolade, Inc.",NASDAQ,3103097071.3990626,Technology Services
ACCO,Acco Brands Corporation,NYSE,792582447.2759023,Producer Manufacturing
ACEL,"Accel Entertainment, Inc.",NYSE,1113206677.1140068,Consumer Services
ACER,Acer Therapeutics Inc.,NASDAQ,41213505.20547945,Health Technology
ACET,"Adicet Bio, Inc.",NASDAQ,335314739.1306006,Health Technology
ACEV,ACE Convergence Acquisition Corp.,NASDAQ,286924987,Finance
